state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
Florida,2001,14.58705728,39445,16356966,West,215,5742,282722.4552,3240134,160073,1944577,725890,569757
Georgia,2001,19.26695331,45181,8377038,West,156,6839,355820.093,2147460,192077,1012795,772021,362695
Hawaii,2001,15.66134942,43778,1225948,South,10,0,0,257856,12469,239948,17774,2920
Idaho,2001,11.81852205,33390,1319962,South,112,1950,103549.5356,248794,104603,155595,11395,81804
Illinois,2001,17.98462499,48849,12488445,Midwest,493,8780,509384.2482,3175628,100649,1260800,983729,970648
Indiana,2001,37.33827696,40138,6127760,Midwest,223,5449,307816.3793,2877572,53115,812208,1569235,513752
Iowa,2001,26.09143188,38988,2931997,Midwest,81,1855,89997.72637,1020468,76676,391183,443921,225233
Kansas,2001,26.57131586,39745,2702162,Midwest,821,7091,331724.3535,1007182,10909,378875,354647,273862
Kentucky,2001,36.67530945,35497,4068132,West,534,18361,986279.0421,1859285,53502,629861,1013055,216707
Louisiana,2001,45.15534712,41302,4477875,West,1190,46547,2937110.864,3562212,136090,1974995,239990,1347228
Maine,2001,17.50030334,36995,1285692,Northeast,28,0,0,337142,146153,228077,7875,101190
Maryland,2001,14.49385648,46792,5374691,West,82,2160,115199.4641,1070902,33274,567294,318851,184976
Massachusetts,2001,12.87976149,55114,6397634,Northeast,92,0,0,1213976,47992,740865,109014,364114
Michigan,2001,18.98686033,40883,9991120,Midwest,411,6224,396875.2792,2696676,99009,987314,789703,928651
Minnesota,2001,19.06560092,47177,4982796,Midwest,143,6676,380631.7635,1351457,107990,673101,353305,345002
Mississippi,2001,24.60572998,28856,2852994,West,287,4518,212423.1261,1019600,56086,480421,198275,340904
Missouri,2001,23.3286097,41346,5641142,Midwest,215,4776,218860.4475,1728611,33112,725840,716378,288617
Montana,2001,35.17240543,32272,906961,South,258,4486,285609.1953,407460,80652,156699,184401,66483
Nebraska,2001,24.94423887,42227,1719836,Midwest,117,1134,47349.56363,566663,43391,218211,226691,124057
Nevada,2001,21.30195449,48733,2098399,South,192,9771,630623.698,617663,46025,250425,188572,181256
New Hampshire,2001,13.46059034,44540,1255517,Northeast,40,0,0,231818,30188,166936,40125,24848
New Jersey,2001,14.25935374,54000,8492671,Northeast,110,2552,180160.2017,1880506,29986,1196289,112207,585826
New Mexico,2001,31.82852994,37915,1831690,South,524,14119,806494.3711,795336,7924,239350,297096,259626
New York,2001,10.88936562,55375,19082838,Northeast,313,3805,260716.3618,3139504,351113,1627998,306993,1205883
North Carolina,2001,17.58804559,42388,8210122,West,119,3492,166958.4838,1874240,131872,906847,756311,215600
North Dakota,2001,80.8998188,35939,639062,Midwest,174,4638,270420.7995,614956,19483,138243,420001,62583
Ohio,2001,22.51610639,41941,11387404,Midwest,668,11921,664410.5499,3459559,68330,1277131,1362828,838022
